Duty ID,Start Time,End Time,Start Stop Description,End Stop Description
80,0.04:55,0.15:15,Pomona,Pomona
81,0.04:58,0.16:38,Pomona,Pomona
82,0.05:06,0.17:01,Pomona,Pomona
83,0.05:10,0.16:17,Pomona,Pomona
84,0.05:10,0.15:38,Pomona,Pomona
85,0.05:23,0.14:38,Pomona,Pomona
86,0.05:30,0.17:39,Pomona,Pomona
87,0.05:30,0.17:30,Pomona,Pomona
88,0.05:30,0.16:50,Pomona,Pomona
89,0.05:34,0.16:02,Pomona,Pomona
90,0.10:08,0.20:32,Pomona,Pomona
91,0.10:13,0.21:33,Pomona,Pomona
92,0.10:30,0.20:23,Pomona,Pomona
93,0.10:56,0.21:02,Pomona,Pomona
94,0.11:07,0.20:52,Pomona,Pomona
95,0.11:08,0.21:06,Pomona,Pomona
96,0.11:23,0.20:51,Pomona,Pomona
97,0.11:40,0.21:56,Pomona,Pomona
98,0.11:50,0.20:46,Pomona,Pomona
99,0.11:53,0.22:02,Pomona,Pomona
100,0.12:03,0.21:49,Pomona,Pomona
101,0.12:05,0.21:01,Pomona,Pomona
102,0.12:07,0.22:01,Pomona,Pomona
103,0.12:20,0.23:02,Pomona,Pomona
104,0.12:23,0.23:17,Pomona,Pomona
105,0.12:35,0.22:32,Pomona,Pomona
106,0.12:35,0.21:21,Pomona,Pomona
107,0.12:37,0.22:57,Pomona,Pomona
108,0.12:41,0.21:55,Pomona,Pomona
109,0.12:50,0.22:19,Pomona,Pomona
110,0.03:15,0.09:50,Pomona,Pomona
111,0.03:20,0.14:15,Pomona,Pomona
112,0.03:25,0.13:58,Pomona,Pomona
113,0.03:50,0.17:23,Pomona,Pomona
114,0.03:55,0.17:24,Pomona,Pomona
115,0.03:55,0.14:16,Pomona,Pomona
116,0.03:55,0.16:35,Pomona,Pomona
117,0.04:10,0.15:52,Pomona,Pomona
118,0.04:10,0.17:21,Pomona,Pomona
119,0.04:10,0.15:47,Pomona,Pomona
120,0.04:15,0.17:39,Pomona,Pomona
121,0.04:20,0.17:54,Pomona,Pomona
122,0.04:30,0.17:56,Pomona,Pomona
123,0.04:34,0.18:11,Pomona,Pomona
124,0.04:40,0.18:11,Pomona,Pomona
125,0.04:52,0.18:05,Pomona,Pomona
126,0.04:55,0.18:02,Pomona,Pomona
127,0.05:00,0.18:19,Pomona,Pomona
128,0.05:00,0.18:09,Pomona,Pomona
129,0.05:04,0.18:31,Pomona,Pomona
130,0.05:04,0.18:39,Pomona,Pomona
131,0.05:05,0.18:24,Pomona,Pomona
132,0.05:05,0.18:38,Pomona,Pomona
133,0.05:05,0.17:31,Pomona,Pomona
134,0.05:10,0.18:31,Pomona,Pomona
135,0.05:15,0.18:52,Pomona,Pomona
136,0.05:18,0.18:47,Pomona,Pomona
137,0.05:22,0.18:59,Pomona,Pomona
138,0.05:24,0.19:03,Pomona,Pomona
139,0.05:25,0.19:01,Pomona,Pomona
140,0.08:24,0.21:59,Pomona,Pomona
141,0.08:55,0.22:32,Pomona,Pomona
142,0.09:00,0.22:29,Pomona,Pomona
143,0.04:40,0.10:38,Pomona,Pomona
144,0.12:00,0.21:04,Pomona,Pomona
